service_name,logistic_name,province_name,city_name,package_finalweight_value,rates_shipment_value,rates_insurance_value,surchargefee,delivery_sla_binary
Standard,Veridian,Sulawesi Selatan,Takalar,4.0,68000.0,0.0,0.0,0
Freight,Veridian,Sumatera Utara,Medan,5.0,75000.0,2437.0,0.0,1
Standard,Veridian,Kalimantan Timur,Balikpapan,1.0,25000.0,0.0,0.0,1
Standard,Veridian,Jawa Barat,"Bandung, Kota",1.0,12000.0,0.0,0.0,0
Connect,Veridian,Banten,Tangerang Selatan,2.0,20000.0,0.0,0.0,1
Connect,Veridian,DKI Jakarta,Jakarta Selatan,2.0,20000.0,0.0,0.0,1
Freight,Veridian,Sulawesi Selatan,Makassar,4.0,100000.0,0.0,0.0,0
Freight,Veridian,Sumatera Barat,Padang,9.0,35000.0,0.0,0.0,1
Freight,Veridian,DKI Jakarta,Jakarta Selatan,37.0,148000.0,3618.0,0.0,0
Standard,Veridian,DKI Jakarta,Jakarta Selatan,1.0,10000.0,0.0,0.0,1
Connect,Veridian,Bali,Denpasar,1.0,9000.0,0.0,0.0,0
Connect,Veridian,Kepulauan Riau,Batam,1.0,9000.0,288.0,0.0,1
Connect,Veridian,Banten,"Tangerang, Kab.",1.0,10000.0,0.0,0.0,1
Standard,Veridian,Jawa Barat,"Bogor, Kab.",1.0,10000.0,0.0,0.0,1
Standard,Veridian,Sulawesi Selatan,Parepare,1.0,14000.0,0.0,0.0,1
Standard,Veridian,Sumatera Utara,Padang Sidempuan,1.0,58000.0,0.0,0.0,0
Standard,Veridian,Jawa Timur,"Malang, Kota",1.0,10000.0,0.0,0.0,1
Standard,Veridian,Banten,"Tangerang, Kota",1.0,10000.0,325.0,0.0,1
Expedite,Veridian,Jawa Barat,"Bekasi, Kota",1.0,18000.0,1213.0,0.0,1
Standard,Veridian,Jawa Tengah,Grobogan,1.0,10000.0,265.0,0.0,1
Standard,Veridian,Jawa Barat,Purwakarta,4.0,48000.0,0.0,0.0,1
Standard,Veridian,Jawa Timur,Sidoarjo,1.0,8000.0,0.0,0.0,1
Connect,Veridian,DKI Jakarta,Jakarta Pusat,1.0,10000.0,0.0,0.0,1
Freight,Veridian,DKI Jakarta,Jakarta Pusat,59.0,236000.0,6094.0,0.0,1
Standard,Veridian,Jawa Barat,Depok,2.0,52000.0,0.0,0.0,1
Standard,Veridian,Jawa Barat,Kuningan,1.0,18000.0,1873.0,0.0,1
Standard,Veridian,Banten,"Serang, Kab.",2.0,30000.0,6250.0,0.0,1
Standard,Veridian,Sumatera Utara,Simalungun,1.0,59000.0,2323.0,0.0,1
Standard,Veridian,Aceh,Subulussalam,1.0,63000.0,1873.0,0.0,0
Freight,Veridian,DKI Jakarta,Jakarta Pusat,13.0,52000.0,0.0,0.0,1
Standard,Veridian,Jawa Timur,Sidoarjo,2.0,16000.0,443.0,0.0,1
Connect,Veridian,Sumatera Utara,Medan,1.0,5000.0,238.0,0.0,1
Connect,Veridian,Sulawesi Selatan,Makassar,3.0,21000.0,0.0,0.0,1
Standard,Veridian,Jawa Barat,"Bandung, Kota",1.0,12000.0,2498.0,0.0,1
Standard,Veridian,Jambi,Bungo,1.0,12000.0,0.0,0.0,1
Connect,Veridian,Sulawesi Tenggara,Kendari,1.0,8000.0,363.0,0.0,1
Freight,Veridian,DI Yogyakarta,Yogyakarta,6.0,40000.0,0.0,0.0,1
Connect,Veridian,Jawa Timur,"Mojokerto, Kab.",1.0,7000.0,393.0,0.0,1
Standard,Veridian,Sumatera Barat,"Solok, Kab.",1.0,11000.0,510.0,0.0,1
Connect,Veridian,Jawa Barat,"Bogor, Kab.",1.0,10000.0,0.0,0.0,1
Freight,Veridian,Bali,Badung,41.0,143500.0,3857.0,0.0,0
Standard,Veridian,Banten,Tangerang Selatan,1.0,10000.0,0.0,0.0,0
Standard,Veridian,Jawa Barat,"Bekasi, Kota",1.0,10000.0,0.0,0.0,1
Standard,Veridian,Riau,Bengkalis,9.0,504000.0,31250.0,0.0,1
Standard,Veridian,Jawa Tengah,Kebumen,9.0,243000.0,31250.0,0.0,1
Standard,Veridian,Papua,"Jayapura, Kab.",1.0,145000.0,0.0,0.0,0
Connect,Veridian,DKI Jakarta,Jakarta Selatan,1.0,10000.0,525.0,0.0,1
Standard,Veridian,Bali,Badung,3.0,27000.0,0.0,0.0,0
